game_id,player_id,cluster
184276529,22664903,66
184279350,7838398,-1
184279350,22664903,54
184327609,22664903,65
184327609,23024736,36
184340596,6640305,64
184340596,22664903,32
184364693,6776758,-1
184364693,22664903,-1
184440524,18486193,35
184440524,22664903,7
185402305,6640305,51
185402305,8139502,72
185558042,8139502,-1
185558042,14739001,-1
187400762,6531537,15
187400762,8139502,15
187405391,8139502,66
187405391,11868671,-1
187411482,769187,54
187411482,8139502,-1
187415685,9014000,62
187421651,8139502,74
187421651,8538276,-1
187440056,8139502,48
187440056,8840075,8
188385071,8139502,-1
188385071,9298419,19
188388557,8139502,50
188388557,9298419,-1
188479554,2925691,66
188479554,3882021,66
188483116,2925691,63
188483116,3882021,-1
189206036,8139502,53
189206036,12294160,4
189219915,8139502,-1
189219915,9298419,35
189898665,3882021,25
189898665,7860065,30
190138899,8304908,8
190138899,22152503,36
190146404,9469627,-1
190146404,22152503,-1
190151494,12294160,-1
190151494,22152503,71
190152823,9469627,-1
190152823,22152503,57
190156446,11872910,38
190156446,22152503,38
190191333,19711388,-1
190191333,22152503,38
190195597,18704207,49
190195597,22152503,-1
190198750,11018483,49
190198750,22152503,-1
190202556,8840075,66
190202556,22152503,38
190262796,16794502,1
190262796,22152503,57
190399778,15249543,15
190399778,22152503,-1
190406410,7791954,-1
190406410,22152503,66
190569579,230361,62
190569579,3882021,62
190572291,230361,-1
190572291,3882021,40
190793362,8304908,65
190793362,15249543,62
190795313,6988123,49
190795313,15249543,18
190797520,6961598,-1
190797520,15249543,-1
190799578,9402108,-1
190799578,15249543,62
190802643,8354416,-1
190802643,15249543,47
190899767,3671968,41
190899767,22152503,-1
190919110,9298419,33
190919110,22152503,-1
190922878,6501140,66
190922878,22152503,-1
190924770,5898682,15
190924770,22152503,-1
190926565,5791034,-1
190926565,22152503,-1
190931174,15249543,66
190932622,15249543,74
190932622,16912222,66
190934457,5898682,74
190934457,15249543,54
190936383,15249543,23
190936383,16794502,14
190940757,15249543,62
190940757,16794502,-1
190943655,12365740,62
190943655,15249543,-1
190946098,15249543,57
190947135,6961598,62
190947135,15249543,15
190949944,15249543,28
190949944,21475725,62
190952582,5898682,-1
190952582,15249543,6
190974606,12056835,62
190974606,22152503,-1
190976548,8840075,62
190976548,22152503,-1
191066548,769187,41
191066548,15249543,66
191069432,2347873,1
191069432,15249543,15
191072891,15249543,-1
191072891,17449404,7
191084073,15249543,62
191084073,16780922,-1
191722483,3882021,-1
191722483,11868671,74
192295206,12118661,-1
192295206,16818159,65
192297218,12118661,35
192297218,16818159,74
192298372,2925691,54
192298372,16233778,-1
192300237,2925691,66
192300237,16233778,-1
192302748,2925691,63
192302748,16233778,62
192304731,2925691,44
192304731,11868671,62
192353004,2925691,-1
192353004,11133509,51
192354014,2925691,66
192354014,11868671,-1
192354778,2925691,-1
192354778,11868671,4
192356564,2925691,23
192356564,11868671,5
192358077,2925691,-1
192358077,17913075,14
192360165,2925691,57
192360165,11018483,71
192535010,2925691,66
192535010,11868671,17
192537110,2925691,-1
192537110,11868671,74
192539134,2925691,74
192539134,11868671,40
192647725,8840075,-1
192647725,15218890,62
193265760,12118661,66
193265760,12131032,34
193269469,6757911,63
193269469,12118661,47
193271700,7860065,66
193271700,12118661,72
193275373,7860065,-1
193275373,12118661,-1
193278985,6787847,66
193278985,12118661,52
194383721,11443994,40
194383721,15218890,44
194514717,7090781,15
194514717,7887498,-1
194528507,520130,25
194528507,7090781,-1
194630979,230361,-1
194630979,7090781,49
195251030,3637474,44
195251030,10410361,-1
195253226,520130,-1
195253226,10410361,62
195513297,6961598,62
195513297,10410361,62
195514445,6961598,66
195514445,10410361,-1
195516141,6961598,-1
195516141,10410361,-1
195517405,844518,4
195517405,10410361,54
195519881,10410361,68
195519881,11628131,-1
195521868,10410361,-1
195521868,23538102,-1
196085115,3882021,66
196085115,16233778,66
196086003,223882,49
196086003,3882021,62
196088083,3882021,-1
196088083,19005184,62
196090404,3882021,-1
196090404,21594173,48
196091815,3882021,62
196091815,7838422,62
196093550,3882021,69
196093550,11125131,13
196094621,3882021,61
196094621,11125131,56
196095334,3882021,12
196095334,11125131,40
196096635,2806642,51
196096635,3882021,62
196097867,2806642,38
196097867,3882021,29
196099657,3882021,62
196099657,21594173,-1
196101051,2806642,48
196101051,3882021,44
196272132,10912944,47
196272132,15218890,40
196509317,11868671,-1
196509317,22884416,57
196767850,11220071,66
196767850,14388637,-1
196768936,11220071,4
196768936,17515568,-1
196770454,11220071,65
196770454,23000791,-1
196803956,11125131,62
196803956,11220071,-1
196807320,11220071,53
196807320,22595178,54
196810654,11220071,-1
196810654,13789380,38
196813608,11220071,38
196813608,17669489,-1
196817731,8840075,-1
196817731,11220071,62
196820404,8438040,62
196820404,11220071,12
196824248,8840075,65
196824248,11220071,54
196827148,8840075,-1
196827148,11220071,70
196830029,3599155,-1
196830029,11220071,57
196861317,8438040,-1
196861317,11220071,8
196864847,9385566,13
196864847,11220071,62
196883238,9385566,62
196883238,9469627,64
196884589,2691747,-1
196884589,9385566,38
197036535,11868671,58
197036535,20319908,38
197037732,11868671,62
197037732,20319908,42
197039050,11868671,74
197039050,20319908,74
197041687,8586983,-1
197041687,20319908,62
197052874,3882021,-1
197052874,11868671,62
197057901,3882021,27
197057901,11868671,15
197062170,3882021,56
197062170,9469627,66
197065073,3882021,48
197065073,8438040,-1
197107391,9385566,48
197107391,17674466,-1
197108792,520130,44
197108792,9385566,47
197111037,7838422,20
197111037,9385566,56
197112496,4703134,-1
197112496,9385566,66
197145481,1251771,66
197145481,3882021,-1
197149300,3882021,66
197149300,6501140,-1
197160675,3882021,38
197160675,11868671,57
197225386,9385566,-1
197225386,10107119,19
197226556,9385566,36
197226556,17916129,5
197228436,9213404,51
197228436,9385566,48
197229682,9385566,-1
197229682,22831107,12
197231473,4645925,65
197231473,9385566,11
197363722,2691747,52
197363722,15131510,52
197365871,2691747,62
197365871,3507399,62
197378614,7090781,1
197378614,10912944,62
197378656,8586983,-1
197378656,20319908,-1
197380908,7090781,0
197380908,17515568,33
197382170,17252920,62
197382170,20319908,-1
197382353,7090781,14
197382353,17515568,57
197383892,634029,62
197383892,20319908,15
197384199,7090781,66
197384199,17515568,62
197385414,634029,62
197385414,20319908,-1
197385816,7090781,-1
197385816,11868671,-1
197387550,17515568,-1
197387550,20319908,26
197391490,11868671,62
197391490,20319908,30
197393148,11868671,-1
197393148,20319908,62
197395361,11868671,14
197395361,20319908,66
197445553,6531537,-1
197445553,15383233,40
197488861,2691747,57
197488861,8687883,-1
197490580,2691747,71
197490580,7450111,49
197492208,280459,49
197492208,3507399,62
197493779,2691747,-1
197493779,22192851,-1
197497884,280459,15
197497884,9194260,74
197500703,280459,52
197500703,9298419,-1
197502969,2691747,38
197502969,9298419,66
197503963,2691747,-1
197503963,9298419,65
197505329,2691747,57
197505329,2806642,66
197506341,2691747,66
197506341,22273741,62
197510351,2691747,-1
197510351,11125131,54
197513379,2691747,44
197513379,16201410,44
197524070,2691747,-1
197524070,7838422,59
197526157,2691747,38
197526157,7838422,66
197527628,2691747,33
197527628,7838422,50
197536339,1749951,26
197536339,2691747,-1
197543339,2691747,13
197543339,22226477,62
197571941,3882021,66
197571941,11868671,66
197574026,2806642,-1
197574026,3882021,68
197652263,4309542,51
197652263,11220071,62
197654814,2691747,48
197654814,22224765,-1
197660303,280459,52
197660303,2691747,40
197662039,2691747,54
197662039,22413977,66
197663084,280459,33
197663084,7809178,1
197777941,280459,20
197777941,769187,38
197779653,280459,40
197779653,2347873,54
197781908,280459,38
197781908,2347873,-1
197784272,280459,28
197784272,2347873,66
197941049,9385566,62
197941049,23453458,44
197941317,2942077,12
197941317,6924135,41
197945354,2942077,62
197945354,18566590,-1
197946960,2942077,-1
197946960,18566590,62
197948951,2942077,62
197948951,17515568,-1
197950444,2942077,40
197950444,17515568,62
197969674,2942077,62
197983872,8301702,54
197983872,15218890,6
198006665,280459,-1
198006665,17916129,-1
198032881,280459,49
198032881,3553830,53
198049486,2942077,74
198049486,3507399,62
198050488,2942077,62
198050488,6961598,52
198052759,2942077,-1
198059737,2942077,50
198059737,23453458,42
198061381,2942077,-1
198061381,23453458,-1
198063678,2942077,48
198063678,23453458,54
198073215,2942077,-1
198073215,23453458,62
198153375,280459,-1
198153375,7838422,62
198157142,280459,8
198157142,3592906,11
198159226,280459,48
198159226,3592906,28
198160696,280459,62
198160696,3592906,-1
198195570,12294160,12
198195570,18915598,35
198205972,634029,53
198205972,12294160,62
198208828,898725,-1
198208828,12294160,62
198212709,12294160,62
198212709,23453458,62
198215856,12294160,0
198215856,16755468,66
198220227,12294160,38
198220227,16755468,-1
198224452,8680664,38
198224452,12294160,66
198260329,280459,40
198260329,11196869,16
198282187,280459,8
198282187,7647757,-1
198285553,280459,48
198285553,21732333,-1
198291060,280459,-1
198291060,11712228,-1
198421270,2942077,65
198421270,18616127,-1
198445499,10129543,-1
198445499,10410361,51
198450595,280459,-1
198450595,22803610,-1
198625654,4379963,-1
198625654,7647757,15
198627211,4379963,74
198627211,6961598,-1
198629264,3507399,-1
198629264,4379963,1
198630772,4379963,-1
198630772,11018483,62
198633325,4379963,38
198633325,21220978,19
198635112,4379963,-1
198635112,11018483,41
198640008,4379963,62
198640008,22045973,48
198641561,4379963,43
198641561,23488978,51
198643970,4379963,-1
198643970,21732333,-1
198644839,8586983,-1
198644839,23488978,-1
198645586,769187,-1
198645586,4379963,74
198647343,4379963,-1
198647343,10988018,32
198656135,8586983,65
198656135,16554192,74
198668614,8586983,-1
198668614,9298419,62
198767768,4059218,40
198767768,4379963,13
198769663,4379963,74
198769663,10129543,8
198771765,4379963,-1
198771765,10129543,14
198772405,20319908,-1
198772405,23453458,63
198772579,4379963,48
198772579,6924135,48
198774983,4379963,51
198774983,21732333,-1
198776780,634029,-1
198776780,4379963,53
198779475,4379963,-1
198779475,14739001,62
198781334,4379963,33
198781334,8840075,66
198973328,769187,62
198973328,2942077,-1
199063879,6000037,74
199063879,6588513,62
199066647,6000037,74
199066647,8840075,-1
199072514,6000037,53
199072514,8840075,-1
199077490,230361,-1
199077490,6000037,-1
199187383,7090370,-1
199187383,7445226,14
199189863,7090370,-1
199189863,7445226,74
199191256,8586983,16
199191256,23488978,21
199242341,7090370,-1
199242341,17916129,-1
199246044,7090370,51
199246044,10599576,62
199249490,7090370,62
199249490,8945737,-1
199507019,6943917,54
199507019,11196869,62
199512326,8130680,-1
199512326,23198823,-1
199516644,8130680,54
199516644,11125131,8
199521854,8130680,-1
199521854,21167799,66
199525219,8130680,36
199525219,16794502,-1
199529475,2691747,72
199529475,10599576,-1
199531521,4309542,-1
199531521,8130680,66
199536665,8130680,34
199536665,21594173,-1
199540354,8130680,-1
199540354,16794502,62
199543307,4645925,-1
199543307,8130680,-1
199576093,11220071,49
199576093,14918385,-1
199577915,11220071,-1
199577915,18566590,66
199580460,2806642,49
199580460,11220071,62
199586885,7614140,62
199586885,11220071,-1
199587718,8130680,-1
199587718,9303779,-1
199690756,769187,51
199690756,6000037,62
199694172,6000037,17
199694172,8948067,38
199696895,6000037,74
199696895,20060547,33
199699655,6000037,-1
199699655,20985555,-1
199704300,6000037,11
199704300,22082228,52
199794228,21220978,-1
199794228,21546653,-1
199797020,9635414,57
199797020,21220978,51
199809822,17975584,62
199809822,18566590,16
199810934,11018483,7
199810934,18566590,24
199827580,3388442,66
199827580,18566590,36
199831732,17057316,5
199831732,18566590,35
199840323,21732333,58
199840323,23488978,-1
199842054,898725,20
199842054,8130680,66
199843661,18555980,74
199843661,23488978,27
199851120,11018483,53
199851120,23488978,19
199856550,8130680,48
199856550,23876739,8
199857605,15941496,40
199857605,23488978,40
199861512,15941496,62
199861512,23488978,62
199863015,8315759,-1
199863015,18566590,-1
199866625,15941496,62
199866625,18566590,35
199866966,16818159,-1
199866966,23488978,62
199870172,15941496,68
199870172,18566590,51
199870878,16794502,38
199870878,23488978,5
199874295,10561449,65
199874295,23488978,52
199879351,634029,65
199879351,23488978,74
199880857,10367333,-1
199880857,18566590,31
