game_id,player_id,cluster
184276529,22664903,4
184279350,7838398,2
184279350,22664903,4
184327609,22664903,1
184327609,23024736,3
184340596,6640305,3
184340596,22664903,1
184364693,6776758,2
184364693,22664903,3
184440524,18486193,1
184440524,22664903,1
185402305,6640305,2
185402305,8139502,2
185558042,8139502,2
185558042,14739001,2
187400762,6531537,0
187400762,8139502,3
187405391,8139502,0
187405391,11868671,2
187411482,769187,2
187411482,8139502,3
187415685,9014000,0
187421651,8139502,0
187421651,8538276,2
187440056,8139502,3
187440056,8840075,0
188385071,8139502,3
188385071,9298419,3
188388557,8139502,3
188388557,9298419,3
188479554,2925691,2
188479554,3882021,0
188483116,2925691,3
188483116,3882021,3
189206036,8139502,0
189206036,12294160,2
189219915,8139502,3
189219915,9298419,3
189898665,3882021,0
189898665,7860065,3
190138899,8304908,2
190138899,22152503,0
190146404,9469627,2
190146404,22152503,0
190151494,12294160,2
190151494,22152503,3
190152823,9469627,3
190152823,22152503,3
190156446,11872910,2
190156446,22152503,3
190191333,19711388,2
190191333,22152503,3
190195597,18704207,3
190195597,22152503,0
190198750,11018483,3
190198750,22152503,0
190202556,8840075,0
190202556,22152503,3
190262796,16794502,1
190262796,22152503,4
190399778,15249543,3
190399778,22152503,0
190406410,7791954,1
190406410,22152503,4
190569579,230361,1
190569579,3882021,1
190572291,230361,0
190572291,3882021,1
190793362,8304908,2
190793362,15249543,0
190795313,6988123,3
190795313,15249543,0
190797520,6961598,0
190797520,15249543,3
190799578,9402108,2
190799578,15249543,1
190802643,8354416,2
190802643,15249543,0
190899767,3671968,2
190899767,22152503,3
190919110,9298419,3
190919110,22152503,3
190922878,6501140,0
190922878,22152503,3
190924770,5898682,2
190924770,22152503,0
190926565,5791034,2
190926565,22152503,3
190931174,15249543,4
190932622,15249543,0
190932622,16912222,3
190934457,5898682,3
190934457,15249543,1
190936383,15249543,3
190936383,16794502,2
190940757,15249543,0
190940757,16794502,0
190943655,12365740,1
190943655,15249543,3
190946098,15249543,4
190947135,6961598,4
190947135,15249543,0
190949944,15249543,3
190949944,21475725,0
190952582,5898682,2
190952582,15249543,3
190974606,12056835,3
190974606,22152503,1
190976548,8840075,3
190976548,22152503,3
191066548,769187,1
191066548,15249543,4
191069432,2347873,3
191069432,15249543,0
191072891,15249543,1
191072891,17449404,0
191084073,15249543,0
191084073,16780922,3
191722483,3882021,0
191722483,11868671,0
192295206,12118661,0
192295206,16818159,2
192297218,12118661,0
192297218,16818159,3
192298372,2925691,3
192298372,16233778,2
192300237,2925691,3
192300237,16233778,2
192302748,2925691,0
192302748,16233778,2
192304731,2925691,2
192304731,11868671,0
192353004,2925691,1
192353004,11133509,4
192354014,2925691,1
192354014,11868671,4
192354778,2925691,2
192354778,11868671,2
192356564,2925691,3
192356564,11868671,3
192358077,2925691,3
192358077,17913075,0
192360165,2925691,2
192360165,11018483,0
192535010,2925691,3
192535010,11868671,3
192537110,2925691,2
192537110,11868671,3
192539134,2925691,0
192539134,11868671,2
192647725,8840075,2
192647725,15218890,4
193265760,12118661,4
193265760,12131032,4
193269469,6757911,3
193269469,12118661,2
193271700,7860065,2
193271700,12118661,2
193275373,7860065,2
193275373,12118661,3
193278985,6787847,3
193278985,12118661,2
194383721,11443994,3
194383721,15218890,3
194514717,7090781,3
194514717,7887498,1
194528507,520130,2
194528507,7090781,2
194630979,230361,2
194630979,7090781,3
195251030,3637474,3
195251030,10410361,2
195253226,520130,0
195253226,10410361,0
195513297,6961598,1
195513297,10410361,1
195514445,6961598,2
195514445,10410361,2
195516141,6961598,4
195516141,10410361,4
195517405,844518,0
195517405,10410361,0
195519881,10410361,3
195519881,11628131,2
195521868,10410361,4
195521868,23538102,4
196085115,3882021,4
196085115,16233778,4
196086003,223882,0
196086003,3882021,4
196088083,3882021,0
196088083,19005184,4
196090404,3882021,0
196090404,21594173,0
196091815,3882021,4
196091815,7838422,4
196093550,3882021,0
196093550,11125131,1
196094621,3882021,4
196094621,11125131,4
196095334,3882021,3
196095334,11125131,0
196096635,2806642,0
196096635,3882021,1
196097867,2806642,0
196097867,3882021,0
196099657,3882021,1
196099657,21594173,1
196101051,2806642,1
196101051,3882021,3
196272132,10912944,3
196272132,15218890,2
196509317,11868671,3
196509317,22884416,3
196767850,11220071,4
196767850,14388637,4
196768936,11220071,3
196768936,17515568,2
196770454,11220071,1
196770454,23000791,3
196803956,11125131,1
196803956,11220071,0
