game_id,player_id,cluster
184276529,22664903,2
184279350,7838398,3
184279350,22664903,2
184327609,22664903,4
184327609,23024736,4
184340596,6640305,0
184340596,22664903,4
184364693,6776758,0
184364693,22664903,2
184440524,18486193,4
184440524,22664903,2
185402305,6640305,3
185402305,8139502,3
185558042,8139502,3
185558042,14739001,3
187400762,6531537,0
187400762,8139502,3
187405391,8139502,3
187405391,11868671,3
187411482,769187,3
187411482,8139502,4
187415685,9014000,3
187421651,8139502,3
187421651,8538276,3
187440056,8139502,4
187440056,8840075,4
188385071,8139502,3
188385071,9298419,1
188388557,8139502,3
188388557,9298419,1
188479554,2925691,3
188479554,3882021,4
188483116,2925691,3
188483116,3882021,4
189206036,8139502,3
189206036,12294160,0
189219915,8139502,4
189219915,9298419,3
189898665,3882021,3
189898665,7860065,3
190138899,8304908,3
190138899,22152503,3
190146404,9469627,3
190146404,22152503,4
190151494,12294160,3
190151494,22152503,4
190152823,9469627,3
190152823,22152503,3
190156446,11872910,3
190156446,22152503,3
190191333,19711388,3
190191333,22152503,4
190195597,18704207,3
190195597,22152503,4
190198750,11018483,3
190198750,22152503,4
190202556,8840075,3
190202556,22152503,4
190262796,16794502,3
190262796,22152503,4
190399778,15249543,2
190399778,22152503,3
190406410,7791954,3
190406410,22152503,4
190569579,230361,3
190569579,3882021,4
190572291,230361,4
190572291,3882021,4
190793362,8304908,3
190793362,15249543,3
190795313,6988123,3
190795313,15249543,4
190797520,6961598,0
190797520,15249543,2
190799578,9402108,0
190799578,15249543,2
190802643,8354416,0
190802643,15249543,0
190899767,3671968,3
190899767,22152503,3
190919110,9298419,4
190919110,22152503,3
190922878,6501140,4
190922878,22152503,3
190924770,5898682,3
190924770,22152503,3
190926565,5791034,0
190926565,22152503,3
190931174,15249543,0
190932622,15249543,2
190932622,16912222,3
190934457,5898682,3
190934457,15249543,2
190936383,15249543,2
190936383,16794502,3
190940757,15249543,2
190940757,16794502,4
190943655,12365740,2
190943655,15249543,0
190946098,15249543,4
190947135,6961598,0
190947135,15249543,0
190949944,15249543,2
190949944,21475725,3
190952582,5898682,3
190952582,15249543,0
190974606,12056835,3
190974606,22152503,3
190976548,8840075,3
190976548,22152503,3
191066548,769187,3
191066548,15249543,0
191069432,2347873,0
191069432,15249543,0
191072891,15249543,0
191072891,17449404,0
191084073,15249543,2
191084073,16780922,3
191722483,3882021,4
191722483,11868671,4
192295206,12118661,4
192295206,16818159,3
192297218,12118661,4
192297218,16818159,3
192298372,2925691,0
192298372,16233778,3
192300237,2925691,0
192300237,16233778,0
192302748,2925691,0
192302748,16233778,0
192304731,2925691,3
192304731,11868671,3
192353004,2925691,0
192353004,11133509,0
192354014,2925691,3
192354014,11868671,0
192354778,2925691,3
192354778,11868671,3
192356564,2925691,4
192356564,11868671,1
192358077,2925691,4
192358077,17913075,1
192360165,2925691,0
192360165,11018483,3
192535010,2925691,3
192535010,11868671,3
192537110,2925691,3
192537110,11868671,3
192539134,2925691,3
192539134,11868671,3
192647725,8840075,3
192647725,15218890,4
193265760,12118661,3
193265760,12131032,3
193269469,6757911,3
193269469,12118661,3
193271700,7860065,3
193271700,12118661,3
193275373,7860065,0
193275373,12118661,3
193278985,6787847,3
193278985,12118661,3
194383721,11443994,2
194383721,15218890,3
194514717,7090781,0
194514717,7887498,3
194528507,520130,0
194528507,7090781,0
194630979,230361,3
194630979,7090781,4
195251030,3637474,3
195251030,10410361,3
195253226,520130,4
195253226,10410361,3
195513297,6961598,0
195513297,10410361,3
195514445,6961598,0
195514445,10410361,3
195516141,6961598,0
195516141,10410361,3
195517405,844518,4
195517405,10410361,3
195519881,10410361,3
195519881,11628131,3
195521868,10410361,3
195521868,23538102,4
196085115,3882021,3
196085115,16233778,4
196086003,223882,4
196086003,3882021,3
196088083,3882021,3
196088083,19005184,3
196090404,3882021,3
196090404,21594173,3
196091815,3882021,4
196091815,7838422,3
196093550,3882021,4
196093550,11125131,3
196094621,3882021,4
196094621,11125131,3
196095334,3882021,4
196095334,11125131,3
196096635,2806642,4
196096635,3882021,4
196097867,2806642,4
196097867,3882021,3
196099657,3882021,4
196099657,21594173,4
196101051,2806642,4
196101051,3882021,4
196272132,10912944,3
196272132,15218890,3
196509317,11868671,3
196509317,22884416,4
